"","PANID","VEND","UNITS","OUTLET","DOLLARS","WEEK","ITEM","F","D","PR","VOL_EQ","SIZE","FLAVOR.SCENT","FORM","PACKAGE","PRODUCT.TYPE","STORE.LOCATION","ADDITIVES","TYPE.OF.FORMULAT","COLOR","COUNT","VENDORITEMCOUNT","Panelist.Type","Combined.Pre.Tax.Income.of.HH","Family.Size","HH_RACE","Type.of.Residential.Possession","COUNTY","HH_AGE","HH_EDU","HH_OCC","Age.Group.Applied.to.Male.HH","Education.Level.Reached.by.Male.HH","Occupation.Code.of.Male.HH","Male.Working.Hour.Code","MALE_SMOKE","Age.Group.Applied.to.Female.HH","Education.Level.Reached.by.Female.HH","Occupation.Code.of.Female.HH","Female.Working.Hour.Code","FEM_SMOKE","Number.of.Dogs","Number.of.Cats","Children.Group.Code","Marital.Status","Language","Number.of.TVs.Used.by.HH","Number.of.TVs.Hooked.to.Cable","HISP_FLAG","HISP_CAT","HH.Head.Race..RACE2.","HH.Head.Race..RACE3.","Microwave.Owned.by.HH","ZIPCODE","FIPSCODE","market.based.upon.zipcode","IRI.Geography.Number","EXT_FACT"
"23","1100255","35000",1,"GR",2.99,1439,"74508","NONE",2,0,0.2625,"REGULAR","REGULAR","GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","FLUORIDE","WHTN ANTC ANTG ANTP","MISSING",1,117,0,4,1,"1",2,"C",6,4,13,7,9,11,7,".",6,4,13,5,"0",0,0,8,4,".","5","4","0",".","1",1,"1",1201,25003,1,1,1
"24","1100321","37000",1,"GR",1.88,1445,"11201","B",1,1,0.4,"REGULAR","COOL MINT","GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","FLUORISTAT","ANTI CAVITY","MISSING",1,145,0,3,1,"1",2,"C",6,3,10,7,9,11,7,".",6,3,10,4,"0",0,0,8,4,".","1","1","0",".","1",1,"1",1201,25003,1,1,1
"25","1100354","33200",1,"GR",1.99,1429,"18663","B",0,1,0.2688,"REGULAR","FRESH MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","FLRD AND BAKING SODA","EXTR WHTNN TRTR CNTR","MISSING",1,54,0,9,2,"1",2,"C",5,6,13,6,7,1,2,"0",5,6,13,1,"0",0,0,8,2,".","3","3","0",".","1",1,"1",1201,25003,1,1,1
"26","1100479","35000",1,"GR",2.99,1468,"76103","NONE",0,0,0.4,"REGULAR","BRISK MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","BKSODA PEROXIDE FLRD","WHTN ANTC BRTH FRSH","MISSING",1,117,0,7,2,"1",2,"C",6,6,10,6,5,10,4,"0",6,6,10,4,"0",1,0,8,2,".","3","3","0",".","1",1,"1",1201,25003,1,1,1
"27","1100479","35000",1,"GR",2.99,1468,"57094","NONE",0,0,0.4,"REGULAR","CRISP MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","WHTNN TRT CTR AN CVT","WHITE",1,117,0,7,2,"1",2,"C",6,6,10,6,5,10,4,"0",6,6,10,4,"0",1,0,8,2,".","3","3","0",".","1",1,"1",1201,25003,1,1,1
"28","1100479","53100",1,"GR",1.74,1478,"33981","B",0,1,0.35,"REGULAR","MISSING","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","FLUORIDE","TRIPLE PROTECTION","ORANGE AND WHITE",1,39,0,7,2,"1",2,"C",6,6,10,6,5,10,4,"0",6,6,10,4,"0",1,0,8,2,".","3","3","0",".","1",1,"1",1201,25003,1,1,1
"29","1100479","24291",1,"GR",0.99,1449,"29030","NONE",0,0,0.0531,"REGULAR","REGULAR","PASTE","TB IN PG CR BLSTR PC","TOOTHPASTE","SHELF STABLE","FLUORIDE","ANTI CAVITY","MISSING",1,6,0,7,2,"1",2,"C",6,6,10,6,5,10,4,"0",6,6,10,4,"0",1,0,8,2,".","3","3","0",".","1",1,"1",1201,25003,1,1,1
"30","1100479","53100",1,"GR",2.39,1448,"32250","NONE",0,0,0.4,"REGULAR","EXTRA FRESH","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","TRIPLE PROTECTION","RED WHITE & BLUE",1,39,0,7,2,"1",2,"C",6,6,10,6,5,10,4,"0",6,6,10,4,"0",1,0,8,2,".","3","3","0",".","1",1,"1",1201,25003,1,1,1
"31","1100479","53100",1,"GR",1.74,1478,"33898","B",0,1,0.4375,"REGULAR","MISSING","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","FLUORIDE","TRIPLE PROTECTION","ORANGE AND WHITE",1,39,0,7,2,"1",2,"C",6,6,10,6,5,10,4,"0",6,6,10,4,"0",1,0,8,2,".","3","3","0",".","1",1,"1",1201,25003,1,1,1
"32","1100479","53100",1,"GR",3.99,1467,"36100","NONE",0,0,0.375,"REGULAR","FRESH MINT","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","FLUORIDE","TRIPLE PROTECTION","RED WHITE & GREEN",1,39,0,7,2,"1",2,"C",6,6,10,6,5,10,4,"0",6,6,10,4,"0",1,0,8,2,".","3","3","0",".","1",1,"1",1201,25003,1,1,1
"33","1100479","53100",2,"GR",7.98,1454,"36100","NONE",0,0,0.375,"REGULAR","FRESH MINT","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","FLUORIDE","TRIPLE PROTECTION","RED WHITE & GREEN",1,39,0,7,2,"1",2,"C",6,6,10,6,5,10,4,"0",6,6,10,4,"0",1,0,8,2,".","3","3","0",".","1",1,"1",1201,25003,1,1,1
"34","1100479","53100",1,"GR",3.99,1464,"34125","NONE",0,0,0.35,"REGULAR","FRESH MINT","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","TRIPLE PROTECTION","RED WHITE & BLUE",1,39,0,7,2,"1",2,"C",6,6,10,6,5,10,4,"0",6,6,10,4,"0",1,0,8,2,".","3","3","0",".","1",1,"1",1201,25003,1,1,1
"35","1100479","35000",1,"GR",3.49,1428,"74211","NONE",0,0,0.5125,"REGULAR","MISSING","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","FLUORIDE","WHITENING ANTI CAVTY","WHITE",1,117,0,7,2,"1",2,"C",6,6,10,6,5,10,4,"0",6,6,10,4,"0",1,0,8,2,".","3","3","0",".","1",1,"1",1201,25003,1,1,1
"36","1100503","35000",1,"GR",2.99,1451,"78234","NONE",1,0,0.4,"REGULAR","ULTRA MINT","GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","FLUORIDE","WHITENING ANTI CAVTY","GREEN",1,117,6,6,2,"1",2,"C",6,4,13,6,6,13,1,"0",6,4,13,1,"0",0,0,8,2,".","3","3","0",".","1",1,"1",1201,25003,1,1,1
"37","1100503","35000",1,"GR",3.99,1439,"74102","NONE",0,1,0.4875,"REGULAR","MINT","GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","GN AN CV AN PL TR CN","GREEN",1,117,6,6,2,"1",2,"C",6,4,13,6,6,13,1,"0",6,4,13,1,"0",0,0,8,2,".","3","3","0",".","1",1,"1",1201,25003,1,1,1
"38","1100503","35000",1,"GR",0.98,1451,"76003","A",1,1,0.4,"REGULAR","FROSTY MINT","GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM MONOFLRPHSPHT","WHITENING ANTI CAVTY","GREEN",1,117,6,6,2,"1",2,"C",6,4,13,6,6,13,1,"0",6,4,13,1,"0",0,0,8,2,".","3","3","0",".","1",1,"1",1201,25003,1,1,1
"39","1100503","35000",1,"GR",0.98,1451,"57097","A",0,1,0.4,"REGULAR","COOL MINT","GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","FLUORIDE","WHTNN TRT CTR AN CVT","WHITE",1,117,6,6,2,"1",2,"C",6,4,13,6,6,13,1,"0",6,4,13,1,"0",0,0,8,2,".","3","3","0",".","1",1,"1",1201,25003,1,1,1
"40","1100503","35000",1,"GR",2.99,1447,"78234","NONE",0,0,0.4,"REGULAR","ULTRA MINT","GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","FLUORIDE","WHITENING ANTI CAVTY","GREEN",1,117,6,6,2,"1",2,"C",6,4,13,6,6,13,1,"0",6,4,13,1,"0",0,0,8,2,".","3","3","0",".","1",1,"1",1201,25003,1,1,1
"41","1100560","37000",1,"DR",1.49,1473,"6219","NONE",0,0,0.0531,"TRIAL","CLEAN MINT","GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","FLUORIDE","WHT ANT ANTANTBRTFRS","BLU",1,145,0,8,2,"1",2,"C",5,6,9,5,7,7,3,"0",5,6,9,2,"0",0,1,8,2,".","2","1",".",".",".",5,"1",1201,25003,1,1,1
"42","1100560","77326",1,"DR",4.49,1445,"12804","NONE",0,0,0.25,"REGULAR","SILLY STRAWBERRY","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","ANTI CAVITY","RED",1,28,0,8,2,"1",2,"C",5,6,9,5,7,7,3,"0",5,6,9,2,"0",0,1,8,2,".","2","1",".",".",".",5,"1",1201,25003,1,1,1
"43","1100560","33200",1,"GR",4.49,1466,"30350","NONE",0,0,0.3281,"REGULAR","REGULAR","PASTE AND GEL","PUMP REFILL","TOOTHPASTE","SHELF STABLE","BKSODA PEROXIDE FLRD","WHTN ANTC BRTH FRSH","BLUE & WHITE",1,54,0,8,2,"1",2,"C",5,6,9,5,7,7,3,"0",5,6,9,2,"0",0,1,8,2,".","2","1",".",".",".",5,"1",1201,25003,1,1,1
"44","1100750","53100",1,"GR",3.99,1473,"34125","NONE",0,0,0.35,"REGULAR","FRESH MINT","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","TRIPLE PROTECTION","RED WHITE & BLUE",1,39,0,6,2,"1",2,"C",5,6,10,6,6,10,4,"1",5,6,10,4,"1",0,1,8,2,".","2","2","0",".","1",1,"1",1237,25003,1,1,1
"45","1100784","10158",1,"GR",4.49,1431,"8404","NONE",0,1,0.25,"REGULAR","REGULAR","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SNSTV WHTNNG ANT-CVT","MISSING",1,12,0,1,1,"3",1,"C",5,6,13,7,9,11,7,".",5,6,13,1,"0",0,0,8,3,"1","4","4","1","5","97",1,"1",1201,25003,1,1,1
"46","1100784","37000",1,"GR",2.99,1450,"30756","NONE",0,1,0.5,"REGULAR","CLEAN MINT","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","FLUORIDE","EXTR WHTNN TRTR CNTR","GREEN & WHITE",1,145,0,1,1,"3",1,"C",5,6,13,7,9,11,7,".",5,6,13,1,"0",0,0,8,3,"1","4","4","1","5","97",1,"1",1201,25003,1,1,1
"47","1100784","35000",1,"GR",2,1466,"74003","B",0,1,0.375,"REGULAR","CLEAN MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","GN AN CV AN PL TR CN","GREEN",1,117,0,1,1,"3",1,"C",5,6,13,7,9,11,7,".",5,6,13,1,"0",0,0,8,3,"1","4","4","1","5","97",1,"1",1201,25003,1,1,1
"48","1101055","53100",1,"GR",1.74,1463,"32250","NONE",0,1,0.4,"REGULAR","EXTRA FRESH","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","TRIPLE PROTECTION","RED WHITE & BLUE",1,39,0,10,2,"1",2,"C",6,5,10,6,5,10,4,"0",6,5,10,4,"0",0,1,8,2,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"49","1101055","35000",1,"GR",2.99,1469,"74003","NONE",0,0,0.375,"REGULAR","CLEAN MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","GN AN CV AN PL TR CN","GREEN",1,117,0,10,2,"1",2,"C",6,5,10,6,5,10,4,"0",6,5,10,4,"0",0,1,8,2,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"50","1101055","35000",1,"GR",1.71,1429,"74125","B",2,1,0.2625,"REGULAR","REGULAR","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","WHTN ANTC ANTG ANTP","WHITE",1,117,0,10,2,"1",2,"C",6,5,10,6,5,10,4,"0",6,5,10,4,"0",0,1,8,2,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"51","1101055","35000",1,"GR",2.99,1464,"74003","NONE",0,0,0.375,"REGULAR","CLEAN MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","GN AN CV AN PL TR CN","GREEN",1,117,0,10,2,"1",2,"C",6,5,10,6,5,10,4,"0",6,5,10,4,"0",0,1,8,2,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"52","1101055","53100",1,"GR",1.49,1435,"33882","NONE",0,1,0.2688,"REGULAR","MISSING","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","FLUORIDE","WHTN ANTC BRTH FRSH","MISSING",1,39,0,10,2,"1",2,"C",6,5,10,6,5,10,4,"0",6,5,10,4,"0",0,1,8,2,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"53","1101055","35000",1,"GR",2.18,1444,"74126","B",2,1,0.375,"REGULAR","REGULAR","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","WHTN ANTC ANTG ANTP","WHITE",1,117,0,10,2,"1",2,"C",6,5,10,6,5,10,4,"0",6,5,10,4,"0",0,1,8,2,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"54","1101055","35000",1,"GR",2.99,1453,"74126","NONE",0,0,0.375,"REGULAR","REGULAR","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","WHTN ANTC ANTG ANTP","WHITE",1,117,0,10,2,"1",2,"C",6,5,10,6,5,10,4,"0",6,5,10,4,"0",0,1,8,2,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"55","1101055","53100",1,"GR",3.49,1462,"34125","NONE",0,0,0.35,"REGULAR","FRESH MINT","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","TRIPLE PROTECTION","RED WHITE & BLUE",1,39,0,10,2,"1",2,"C",6,5,10,6,5,10,4,"0",6,5,10,4,"0",0,1,8,2,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"56","1101055","53100",1,"GR",2.69,1451,"32420","NONE",0,0,0.2688,"REGULAR","REGULAR","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","FLUORIDE","TRIPLE PROTECTION","RED WHITE & GREEN",1,39,0,10,2,"1",2,"C",6,5,10,6,5,10,4,"0",6,5,10,4,"0",0,1,8,2,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"57","1101055","35000",1,"GR",2.99,1472,"74126","NONE",0,0,0.375,"REGULAR","REGULAR","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","WHTN ANTC ANTG ANTP","WHITE",1,117,0,10,2,"1",2,"C",6,5,10,6,5,10,4,"0",6,5,10,4,"0",0,1,8,2,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"58","1101162","10158",1,"GR",5.99,1428,"8350","NONE",2,0,0.25,"REGULAR","FRESH","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","POTASSIUM NITRATE","SENSITIVE ANTI CAVTY","GREEN",1,12,0,10,2,"1",2,"C",6,8,10,6,8,10,4,"0",6,8,10,4,"0",0,0,8,2,".","3","3","0",".","1",1,"1",1201,25003,1,1,1
"59","1101238","37000",1,"GR",2.79,1455,"321","NONE",0,0,0.4,"REGULAR","REGULAR","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","FLUORIDE","ANTI CAVITY","WHITE",1,145,5,5,2,"1",2,"C",6,4,4,6,4,10,4,"0",6,4,4,2,"0",0,0,8,2,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"60","1101238","37000",1,"DR",2.99,1465,"11205","NONE",0,0,0.375,"REGULAR","MISSING","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","FLUORIDE","WHITENING ANTI CAVTY","WHITE",1,145,5,5,2,"1",2,"C",6,4,4,6,4,10,4,"0",6,4,4,2,"0",0,0,8,2,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"61","1101238","53100",1,"GR",3.99,1434,"36100","NONE",0,0,0.375,"REGULAR","FRESH MINT","PASTE AND GEL","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","FLUORIDE","TRIPLE PROTECTION","RED WHITE & GREEN",1,39,5,5,2,"1",2,"C",6,4,4,6,4,10,4,"0",6,4,4,2,"0",0,0,8,2,".","2","2","0",".","1",1,"1",1201,25003,1,1,1
"62","1101253","35000",2,"DR",5.18,1442,"74002","NONE",0,0,0.2625,"REGULAR","CLEAN MINT","PASTE","TUBE IN BOX","TOOTHPASTE","SHELF STABLE","SODIUM FLUORIDE","GN AN CV AN PL TR CN","GREEN",1,117,6,9,3,"1",2,"C",5,4,13,5,5,13,1,"0",5,4,13,1,"0",0,1,8,2,".","3","3","0",".","2",2,"1",1201,25003,1,1,1
